,Stock,MCCode,StockCode,Link,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
67,INFO EDGE (I) LTD                   ,,NAUKRI,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
68,INFOSYS LIMITED                     ,IT,INFY,https://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
69,INTERGLOBE AVIATION LTD             ,IA05,INDIGO,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
70,ITC LTD                             ,ITC,ITC,https://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
71,JINDAL STEEL & POWER LTD            ,JSP,JINDALSTEL,https://www.moneycontrol.com/india/stockpricequote/steel-sponge-iron/jindalsteelpower/JSP,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
72,JSW STEEL LIMITED                   ,JVS,JSWSTEEL,https://www.moneycontrol.com/india/stockpricequote/steel-large/jswsteel/JSW01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
73,JUBILANT FOODWORKS LTD              ,JF04,JUBLFOOD,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
74,KOTAK MAHINDRA BANK LTD             ,KMF,KOTAKBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/kotakmahindrabank/KMB,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
75,L&T FINANCE HOLDINGS LTD            ,LFH,L&TFH,https://www.moneycontrol.com/india/stockpricequote/finance-investments/ltfinanceholdings/LFH,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
76,LARSEN & TOUBRO LTD.                ,LT,LT,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/larsentoubro/LT,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
77,LIC HOUSING FINANCE LTD             ,LIC,LICHSGFIN,https://www.moneycontrol.com/india/stockpricequote/finance-housing/lichousingfinance/LIC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
78,LUPIN LIMITED                       ,LC03,LUPIN,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
79,M&M FIN. SERVICES LTD               ,MMF04,M&MFIN,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/mahindramahindrafinancialservices/MMF04,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
80,MAHANAGAR GAS LTD.                  ,MG02,MGL,https://www.moneycontrol.com/india/stockpricequote/refineries/mahanagargas/MG02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
81,MAHINDRA & MAHINDRA LTD             ,MM,M&M,https://www.moneycontrol.com/india/stockpricequote/auto-carsjeeps/mahindramahindra/MM,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
82,MANAPPURAM FINANCE LTD              ,MGF1,MANAPPURAM,https://www.moneycontrol.com/india/stockpricequote/finance-leasinghire-purchase/manappuramfinance/MGF01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
83,MARICO LIMITED                      ,MI25,MARICO,https://www.moneycontrol.com/india/stockpricequote/personal-care/marico/M13,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
84,MARUTI SUZUKI INDIA LTD.            ,MU01,MARUTI,https://www.moneycontrol.com/india/stockpricequote/auto-carsjeeps/marutisuzukiindia/MS24,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
85,MAX FINANCIAL SERV LTD              ,MI,MFSL,https://www.moneycontrol.com/india/stockpricequote/finance-investments/maxfinancialservices/MI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
86,MINDTREE LIMITED                    ,MC20,MINDTREE,https://www.moneycontrol.com/india/stockpricequote/computers-software/mindtree/MT13,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
87,MOTHERSON SUMI SYSTEMS LT           ,MSS01,MOTHERSUMI,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/mothersonsumisystems/MSS01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
88,MRF LTD                             ,MRF,MRF,https://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
89,MUTHOOT FINANCE LIMITED             ,MF19,MUTHOOTFIN,https://www.moneycontrol.com/india/stockpricequote/finance-investments/muthootfinance/MF10,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
90,NATIONAL ALUMINIUM CO LTD           ,NAC,NATIONALUM,https://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
91,NESTLE INDIA LIMITED                ,NI,NESTLEIND,https://www.moneycontrol.com/india/stockpricequote/food-processing/nestleindia/NI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
92,NMDC LTD.                           ,NMD01,NMDC,https://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
93,NTPC LTD                            ,NTP,NTPC,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/ntpc/NTP,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
94,OIL AND NATURAL GAS CORP.           ,ONG,ONGC,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/oilnaturalgascorporation/ONG,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
95,PAGE INDUSTRIES LTD                 ,PI35,PAGEIND,https://www.moneycontrol.com/india/stockpricequote/textiles-readymade-apparels/pageindustries/PI35,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
96,PETRONET LNG LIMITED                ,PLN,PETRONET,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/petronetlng/PLN,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
97,PIDILITE INDUSTRIES LTD             ,PI11,PIDILITIND,https://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
98,PIRAMAL ENTERPRISES LTD             ,NP07,PEL,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/piramalenterprises/PH05,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
99,POWER FIN CORP LTD.                 ,PFC02,PFC,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
100,POWER GRID CORP. LTD.               ,PGC,POWERGRID,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/powergridcorporationindia/PGC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
101,PUNJAB NATIONAL BANK                ,PNB05,PNB,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/punjabnationalbank/PNB05,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
102,PVR LIMITED                         ,PVR,PVR,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pvr/PVR,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
103,RBL BANK LIMITED                    ,RB02,RBLBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/rblbank/RB03,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
104,REC LIMITED                         ,REC02,RECLTD,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/rec/REC02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
105,RELIANCE INDUSTRIES LTD             ,RI,RELIANCE,https://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
106,SBI LIFE INSURANCE CO LTD           ,,SBILIFE,https://www.moneycontrol.com/india/stockpricequote/diversified/sbilifeinsurancecompany/SLI03,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
107,SHREE CEMENT LIMITED                ,SC12,SHREECEM,https://www.moneycontrol.com/india/stockpricequote/cement-major/shreecements/SC12,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
108,SHRIRAM TRANSPORT FIN CO.           ,STF,SRTRANSFIN,https://www.moneycontrol.com/india/stockpricequote/finance-leasinghire-purchase/shriramtransportfinancecorporation/STF,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
109,SIEMENS LTD                         ,S,SIEMENS,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/siemens/S,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
110,SRF LTD                             ,SRF,SRF,https://www.moneycontrol.com/india/stockpricequote/diversified/srf/SRF,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
111,STATE BANK OF INDIA                 ,SBI,SBIN,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/statebankindia/SBI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
112,STEEL AUTHORITY OF INDIA            ,SAI,SAIL,https://www.moneycontrol.com/india/stockpricequote/steel-large/steelauthorityindia/SAI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
113,SUN PHARMACEUTICAL IND L            ,SPI,SUNPHARMA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
114,SUN TV NETWORK LIMITED              ,STV01,SUNTV,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/suntvnetwork/STN01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
115,TATA CHEMICALS LTD                  ,TC,TATACHEM,https://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
116,TATA CONSULTANCY SERV LT            ,TCS,TCS,https://www.moneycontrol.com/india/stockpricequote/computers-software/tataconsultancyservices/TCS,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
117,TATA CONSUMER PRODUCT LTD           ,,TATACONSUM,https://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/tataconsumerproducts/TT,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
118,TATA MOTORS LIMITED                 ,TEL,TATAMOTORS,https://www.moneycontrol.com/india/stockpricequote/auto-lcvshcvs/tatamotors/TM03,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
119,TATA POWER CO LTD                   ,TPC,TATAPOWER,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/tatapowercompany/TPC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
120,TATA STEEL LIMITED                  ,TIS,TATASTEEL,https://www.moneycontrol.com/india/stockpricequote/steel-large/tatasteel/TIS,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
121,TECH MAHINDRA LIMITED               ,TM4,TECHM,https://www.moneycontrol.com/india/stockpricequote/computers-software/techmahindra/TM4,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
122,THE RAMCO CEMENTS LIMITED           ,MC,RAMCOCEM,https://www.moneycontrol.com/india/stockpricequote/cement-major/theramcocements/MC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
123,TITAN COMPANY LIMITED               ,TI01,TITAN,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
124,TORRENT PHARMACEUTICALS L           ,TP06,TORNTPHARM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
125,TORRENT POWER LTD                   ,TP13,TORNTPOWER,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/torrentpower/TP14,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
126,TVS MOTOR COMPANY  LTD              ,TVS,TVSMOTOR,https://www.moneycontrol.com/india/stockpricequote/auto-23-wheelers/tvsmotorcompany/TVS,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
127,ULTRATECH CEMENT LIMITED            ,UTC,ULTRACEMCO,https://www.moneycontrol.com/india/stockpricequote/cement-major/ultratechcement/UTC01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
128,UNITED BREWERIES LTD                ,UBB,UBL,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedbreweries/UB02,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
129,UNITED SPIRITS LIMITED              ,MC08,MCDOWELL-N,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedspirits/US,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
130,UPL LIMITED                         ,SI10,UPL,https://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
131,VEDANTA LIMITED                     ,SG,VEDL,https://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
132,VODAFONE IDEA LIMITED               ,IC8,IDEA,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/vodafoneidealimited/IC8,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
133,VOLTAS LTD                          ,V,VOLTAS,https://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
134,WIPRO LTD                           ,W,WIPRO,https://www.moneycontrol.com/india/stockpricequote/computers-software/wipro/W,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
135,ZEE ENTERTAINMENT ENT LTD           ,ZT,ZEEL,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/zeeentertainmententerprises/ZEE,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
